Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1974-07-01,2.89075023618737,2.81252905890616,0.12583021756996,2.53600171521771,-2.62923640104257,,,,,,,,,,,,,,,,,,,1974-07-01,1.35351462789823,2.67421354946228,0.27428373749885
1974-10-01,2.07831234140801,2.05135638303257,0.0616802604682894,2.8072518395993,-3.41046403879941,,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,,,,,,,1974-10-01,1.36263341082888,2.69596781755668,0.271082830507556
1975-01-01,1.9510565233341,2.15010114627681,-0.162648820462443,0.790179847580248,-3.57178024781527,,,Draws excluded:,,725,Total:,5000,,,,,,,,,,,,1975-01-01,1.39293424597536,2.71889786165696,0.267964566065486
1975-04-01,2.17070857747134,2.32232190121464,-0.11230225721112,0.130881995015898,-4.82551281955635,,,Percent excluded:,,0.126637554585153,,,,,,,,,,,,,,1975-04-01,1.39760047759421,2.74030278893929,0.264978371071985
1975-07-01,2.310252210113,2.49507738053885,-0.142589788303329,-0.30505705260407,-4.50963810293664,,,Draws excluded because a_r > -0.0025:,,,,342,,,,,,,,,,,,1975-07-01,1.4043420967839,2.76054446857665,0.262130096022653
1975-10-01,2.37141725864228,2.54813873117975,-0.133587895257665,-0.104271548434099,-3.04211757936705,,,Draws excluded because b_y <  0.025:,,,,350,,,,,,,,,,,,1975-10-01,1.4177537606186,2.77993851383598,0.259439320115912
1976-01-01,2.55835623615171,2.64522066716486,-0.0420875008275389,0.495344648672244,-3.85356163229896,,,Draws excluded because a_y1 + a_y2 < 1:,,,,50,,,,,,,,,,,,1976-01-01,1.43140963969248,2.79775205299464,0.256870588199774
1976-04-01,2.59928448465589,2.61954355810261,0.0240832078893309,1.28136159307633,-2.68058665950982,,,,,,,,,,,,,,,,,,,1976-04-01,1.4492507974707,2.81496954273282,0.254402162652377
1976-07-01,2.49466979033678,2.64229564982184,-0.102898442483345,1.26624346673202,-1.60484517289995,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,1976-07-01,1.46526189038381,2.83229900767891,0.25205844577179
1976-10-01,2.73125710403636,2.69894996888617,0.0779935672242348,2.01673019296436,-2.83430586882486,,,lambda_g,0.0329980328197206,,,-487.259544358313,,,,,,,,,,,,1976-10-01,1.4799173808694,2.8479621266621,0.249762808226615
1977-01-01,2.56051810807585,2.61872154630848,-0.0138750714879744,2.13401094302276,-1.52420826714616,,,lambda_z,0.0281446523427867,,,,,,,,,,,,,,,1977-01-01,1.48471876316546,2.86392911979619,0.247517395976054
1977-04-01,2.42835005009095,2.54287362417231,-0.0714791218155126,2.00755943296804,-1.94202715759101,,,,,,,,,,,,,,,,,,,1977-04-01,1.48744549189169,2.8801971636288,0.245365321711248
1977-07-01,2.33559043146392,2.50238822582263,-0.124438658020545,1.65562213999146,-2.63726353306222,,,,,,,,,,,,,,,,,,,1977-07-01,1.49678725368194,2.89700716263138,0.243367467532622
1977-10-01,2.45435812363888,2.68133433538392,-0.181587968023022,1.11076139131387,-1.60539184554106,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,1977-10-01,1.50339493888985,2.91271932333475,0.241485411568316
1978-01-01,2.34458836526462,2.71374783314311,-0.323222545195875,0.802197550356823,-1.74205167547112,,,Initial State Vector,,,,,,,,,,,,,,,,1978-01-01,1.51470351813742,2.92880263823651,0.239735191142564
1978-04-01,2.46578349071365,2.76097992436116,-0.248459990502475,0.998789241253689,-1.6378465855279,,,1393.39717087268,1392.68147519218,1391.9654782947,0.715695680503892,0.715996897482363,0.716102458493317,0,0,0,,,,,,,,1978-04-01,1.52586109277747,2.94443092554404,0.238087675756976
1978-07-01,2.36529593722861,2.71640076433916,-0.305122996977882,1.03609140987624,0.283065398646586,,,,,,,,,,,,,,,,,,,1978-07-01,1.53454587796692,2.96110201424396,0.236582467571247
1978-10-01,2.46196717913044,2.8008316695566,-0.291453457506995,0.984614336826098,0.307774842112646,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,1978-10-01,1.54527797817354,2.97773811458095,0.235181617270796
1979-01-01,2.45319452846109,2.74690426049899,-0.247211554465898,1.18462515723968,-1.77835831184367,,,0.546114627641849,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,1979-01-01,1.55854084056139,2.99606554089304,0.233910371338401
1979-04-01,2.68554551486567,2.86190933207926,-0.127918893147033,1.3468650098016,-0.409402649100211,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,1979-04-01,1.58015404687038,3.01440567199243,0.23269483367453
1979-07-01,2.71182336610443,2.76972041371541,-0.0110126499733594,1.85367968816831,0.66547942196169,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,1979-07-01,1.59221005155591,3.03436039371499,0.231575188937201
1979-10-01,2.84435149647114,2.79276759302338,0.0988584318414508,1.99444697786907,1.4886957136184,,,0.2,0,0,0.200159099859436,0.2,0,0,0,0,,,,,,,,1979-10-01,1.61128342687643,3.05529857952708,0.230516381443721
1980-01-01,3.02264583054482,2.80207880513109,0.267999169200216,2.25020012381242,0.289279362127982,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,1980-01-01,1.63421211765731,3.0752300849398,0.229461567262963
1980-04-01,2.73254151535548,2.69908182941401,0.0791483500824801,1.75714097655941,0.800997899950115,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,1980-04-01,1.62945706488732,3.09531756394491,0.228461188474868
1980-07-01,2.651468817612,2.68817928220541,0.00879364685553811,1.07418196675258,-0.1708919397506,,,0,0,0,0,0,0,0.271425772441451,0.2,0,,,,,,,,1980-07-01,1.63316797938831,3.11567511692238,0.22750587473925
1980-10-01,2.62767454379069,2.6750369027554,-0.00208071493195972,0.545035881982585,0.446055713237206,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,1980-10-01,1.64018364734388,3.13622664001813,0.226592091875355
1981-01-01,2.67268115758359,2.64141366559097,0.0759799792204967,0.271900852197632,1.45939647096151,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,1981-01-01,1.64632669028496,3.15713071447875,0.225729746049049
1981-04-01,2.63954553031416,2.65257356837434,0.0318733582420786,-0.198214601377913,3.81436787393004,,,,,,,,,,,,,,,,,,,1981-04-01,1.65494734398802,3.1780605737246,0.22491267659165
1981-07-01,2.65212184269421,2.64218871226068,0.0546587372514085,-0.49224901761022,4.31271628704489,,,,,,,,,,,,,,,,,,,1981-07-01,1.66803009890644,3.19858492757472,0.22413030390111
1981-10-01,2.64546313749919,2.63317037676858,0.0568657098198795,-0.844609677764538,3.35099355919391,,,,,,,,,,,,,,,,,,,1981-10-01,1.68926871322378,3.21857109892172,0.22336420064641
1982-01-01,2.47197552115805,2.6810579413993,-0.163698855173948,-1.58311972389106,2.99009110309595,,,,,,,,,,,,,,,,,,,1982-01-01,1.71846486127706,3.23686367862409,0.222584043885225
1982-04-01,2.42981633369156,2.64530179042642,-0.170707153336532,-1.82792118358179,3.42526979867943,,,,,,,,,,,,,,,,,,,1982-04-01,1.73716864093502,3.25199788419906,0.221794114989767
1982-07-01,2.17927855854831,2.5607082016177,-0.33808329628144,-2.39856848054069,3.04437886213679,,,,,,,,,,,,,,,,,,,1982-07-01,1.74078349543771,3.2656466065581,0.221037312289615
1982-10-01,2.08590098016973,2.55750818531287,-0.428315026579591,-3.01038809135275,3.0241495073844,,,,,,,,,,,,,,,,,,,1982-10-01,1.75651592748575,3.27955373245139,0.22030436945536
1983-01-01,2.04873539934402,2.60571775885048,-0.512874114164289,-3.43152078436833,2.63146043736611,,,,,,,,,,,,,,,,,,,1983-01-01,1.78217158712988,3.29319570679691,0.219571056900305
1983-04-01,2.02743322776683,2.60903792230219,-0.537440247179902,-3.47014906533036,3.19265416402214,,,,,,,,,,,,,,,,,,,1983-04-01,1.80579496968697,3.30550407872358,0.218844211488651
1983-07-01,1.98849928800329,2.55099159071853,-0.519310433701592,-3.35805907701115,3.90997254118065,,,,,,,,,,,,,,,,,,,1983-07-01,1.82075746464453,3.31792509461137,0.218155128441874
1983-10-01,2.06599156111376,2.59902398747622,-0.489037489727291,-3.30796655057475,3.98688593413843,,,,,,,,,,,,,,,,,,,1983-10-01,1.84968074304779,3.32952842920962,0.217465230182043
1984-01-01,1.99530825626251,2.61046416395387,-0.570967317653353,-3.23839964899935,3.42759375626421,,,,,,,,,,,,,,,,,,,1984-01-01,1.87420102736499,3.33747345761292,0.216778769264888
1984-04-01,1.68000157839707,2.48963118409738,-0.767486413980223,-3.40104630610335,3.48102192360764,,,,,,,,,,,,,,,,,,,1984-04-01,1.8735685321615,3.34491950427957,0.216163513038195
1984-07-01,1.70267304990053,2.56320464623985,-0.817142991025291,-3.66426210447617,3.61915552362846,,,,,,,,,,,,,,,,,,,1984-07-01,1.89398039959445,3.35160977303138,0.215560802882362
1984-10-01,1.68698461184689,2.53197298671275,-0.802128442964814,-3.51308964839222,3.75687284401408,,,,,,,,,,,,,,,,,,,1984-10-01,1.90642612050306,3.35644432286758,0.214999615402334
1985-01-01,1.67029809215777,2.47387963417298,-0.761704984402446,-3.39004514062867,3.57748732763704,,,,,,,,,,,,,,,,,,,1985-01-01,1.91327973349783,3.36109014625427,0.214501054683395
1985-04-01,1.76377495901337,2.50513034057596,-0.698949828121148,-3.30795584066209,3.58428104841156,,,,,,,,,,,,,,,,,,,1985-04-01,1.93042574872408,3.36536829389957,0.21403461572037
1985-07-01,1.49560859675101,2.54499714925279,-1.00630815429938,-3.58468470982552,3.69040938189775,,,,,,,,,,,,,,,,,,,1985-07-01,1.94697100285114,3.36813522718302,0.21360967499311
1985-10-01,1.47729027166735,2.51737658180534,-0.99747345864563,-3.37554135809273,3.33102862164811,,,,,,,,,,,,,,,,,,,1985-10-01,1.95276692042836,3.36857503685271,0.213251937674529
1986-01-01,1.10176659842663,2.43211011196786,-1.28917400884201,-3.71251078086516,4.70926862817514,,,,,,,,,,,,,,,,,,,1986-01-01,1.94442712017873,3.37056926114698,0.212993655065158
1986-04-01,1.25302215817175,2.57797479599057,-1.28131401103307,-3.81327553045867,4.71987805695843,,,,,,,,,,,,,,,,,,,1986-04-01,1.97075693473417,3.37170904241775,0.212732824433661
