Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1967-01-01,5.15730749199529,4.53230403438651,0.00391837747112513,3.18066826120287,-3.19279609998864,,,Initial State Vector,,,,,,,,,,,,,,,,1967-01-01,1.64782997095949,1.22123733728321,0.411603334498485
1967-04-01,4.91417834127994,4.33098146983998,-0.0102999356722682,2.85071073364713,-3.6862738283608,,,811.27211881791,810.111452336212,808.950880590638,1.16066648169806,1.16057174557351,1.16052441634675,0,0,0,,,,,,,,1967-04-01,1.61409009370935,1.2153505415712,0.4100760820574
1967-07-01,4.93599444475855,4.3246657307466,0.0186973853167027,2.84324574959066,-3.89299191039424,,,,,,,,,,,,,,,,,,,1967-07-01,1.61733399699873,1.20862588806458,0.408575891647509
1967-10-01,4.85822537190534,4.23950661984731,0.0377572170959588,2.92180496251251,-3.65998522905651,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,1967-10-01,1.61313413144333,1.20192967254047,0.407275420918202
1968-01-01,5.09577286172758,4.4119344891815,0.0792481541967278,3.34416237537084,-3.82496952659356,,,0.643139873993012,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,1968-01-01,1.66674532065851,1.19154063180672,0.405894621322213
1968-04-01,5.16245898073762,4.45866636467889,0.092798486935064,3.75993241466165,-3.10555485327335,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,1968-04-01,1.70845603008458,1.17993233153488,0.404688188055122
1968-07-01,5.01843863682911,4.34957746363258,0.0728160608057259,3.7828305123054,-3.20834662700367,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,1968-07-01,1.69385046694164,1.16958944671357,0.403777688120142
1968-10-01,4.85502353766298,4.21469655384452,0.0627653006127229,3.59195685701445,-3.22939866558063,,,0.2,0,0,0.201287524571602,0.2,0,0,0,0,,,,,,,,1968-10-01,1.66524002457906,1.16037689935446,0.403100190593964
1969-01-01,4.98920809231511,4.35037365651271,0.0426802169802954,3.48191195706249,-2.62220329607621,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,1969-01-01,1.70538316821653,1.14898367957686,0.402568873364244
1969-04-01,4.78436426013286,4.17445777600986,0.0378589289118633,3.38430286429627,-0.518180752161346,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,1969-04-01,1.68179036569938,1.13960181542455,0.402178900851163
