Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
1961-01-01,3.46784374934449,3.10838042868179,-0.0449250161017229,-2.37129462063189,-1.53305407750027,,,Parameter Point Estimates,,,,,,,,,,,,,,,,1961-01-01,1.36131934987843,1.81041485329828,0.516669475356499
1961-04-01,5.48738033797445,4.86679342656494,-0.0125641922921858,-2.2924850623769,-3.41541139334275,,,a_y1,a_y2,a_r,b_pi,b_y,sigma_ygap,sigma_pi,sigma_ystar,phi,c,kappa2020Q2-Q4,kappa2021,kappa2022,a_y1 + a_y2,,,1961-04-01,1.37076077548055,1.80848054678725,0.507181598458682
1961-07-01,5.92869990724875,5.25176614183896,-0.00630080767450459,-1.56625064186562,-4.32243354031174,,,1.32556348529808,-0.377485223388506,-0.0783596391063157,0.562593301226242,0.0420108548745248,0.575924142857228,1.34833183469448,0.451060330883115,-0.0570078130255216,1.13009615329997,9.59930010926251,1.08243920299277,1.55839613758247,0.948078261909571,,,1961-07-01,1.41884703530277,1.80617050271951,0.498039921765985
1961-10-01,5.43565258384064,4.82337860228885,-0.0152290205153834,-0.924898255355686,-2.5010656576839,,,T Statistics,,,,,,,,,,,,,,,,1961-10-01,1.46705005370925,1.80609437059089,0.48965519691425
1962-01-01,6.00780594886657,5.32023835444315,-0.00457495012861195,-0.32266909063685,-2.55207248440593,,,13.3699894256304,3.61921250274853,2.9961043554637,11.3077928827376,1.66790409380601,4.54290260636676,26.4328959623901,3.23029139122531,3.26089403425828,2.66518428647072,2.10962663584471,1.90007792613337,1.18631188999634,,,,1962-01-01,1.52450749826621,1.80441585609231,0.48136029300841
1962-04-01,5.36166651866994,4.75207123829345,-0.00863090793292934,0.259639610787474,-1.69028258016877,,,,,,,,,,,,,,,,,,,1962-04-01,1.55790111833092,1.80596013841451,0.473754016096841
1962-07-01,5.34589118304576,4.73795082722523,-0.00844882132589579,0.375201792669259,-0.667617372397172,,,,,,,,,,,,,,,,,,,1962-07-01,1.60059663378789,1.80812970331229,0.466807432814403
1962-10-01,5.61678174095724,4.97443396275184,-0.00480694519335639,0.571263423477774,-3.05137661264146,,,Average Standard Errors,,,,,,,,,,,,,,,,1962-10-01,1.6479619006971,1.80929274558474,0.460047993675946
1963-01-01,5.2781017244904,4.68065153263788,-0.0114845674812922,0.711478692665594,-3.06211204385887,,,y*,r*,g,,,,,,,,,,,,,,1963-01-01,1.68001596565534,1.81308626038028,0.454034696053026
1963-04-01,5.36537703849013,4.76297595690001,-0.0172437686628333,0.716015512205047,-2.61616371849511,,,2.58515592588299,1.71027225979031,0.408533203711856,,,,,,,,,,,,,,1963-04-01,1.71874481863308,1.81687689504262,0.448426494567158
1963-07-01,5.08504650346783,4.50305171562351,-0.00383491846914932,1.15819773571656,-2.92915983055786,,,,,,,,,,,,,,,,,,,1963-07-01,1.76409240006472,1.82225495739971,0.443867597621401
1963-10-01,5.66803067398607,5.02039515076785,-0.00549857394252236,1.40226903167189,-3.22495416574951,,,Restrictions on MC draws: a_3 < -0.0025; b_2 > 0.025; a_1 + a_2 < 1,,,,,,,,,,,,,,,,1963-10-01,1.83153784612623,1.82292457918959,0.439040599008424
1964-01-01,5.82672151082596,5.15879071384235,-0.00320803056690787,2.15016319206677,-3.56999968472441,,,Draws excluded:,,1668,Total:,5000,,,,,,,,,,,,1964-01-01,1.93182312125692,1.82218864162873,0.433903381258886
1964-04-01,5.44089242141198,4.8208236761853,-0.0071018707824696,2.44965814442565,-3.75956062032257,,,Percent excluded:,,0.250149970005999,,,,,,,,,,,,,,1964-04-01,1.91792681922054,1.82513303987536,0.429570096669436
1964-07-01,5.40787805446738,4.79530534400117,-0.0112780686871567,2.38228388909891,-2.83884482848035,,,Draws excluded because a_r > -0.0025:,,,,12,,,,,,,,,,,,1964-07-01,1.94175701635741,1.82861596807648,0.425636217758963
1964-10-01,5.21429068827292,4.62499069418028,-0.012393504268397,2.35614250846231,-2.58150432593951,,,Draws excluded because b_y <  0.025:,,,,1593,,,,,,,,,,,,1964-10-01,1.96030730699735,1.83370068337823,0.422693386194303
1965-01-01,5.68038497962331,5.03171158341799,-0.00593292531227696,2.68473510879909,-3.11795854190416,,,Draws excluded because a_y1 + a_y2 < 1:,,,,103,,,,,,,,,,,,1965-01-01,2.06620626403979,1.83343641217227,0.418929012544683
1965-04-01,5.47541236257198,4.84623720492718,-0.00130166069544142,3.15361800695143,-3.26819511415464,,,,,,,,,,,,,,,,,,,1965-04-01,2.07737527134237,1.83494404574534,0.415716031648362
1965-07-01,5.49958387035616,4.87107902464644,-0.00520379781696599,3.19883976316873,-3.44436406452725,,,Signal-to-noise Ratios,,,,Log Likelihood,,,,,,,,,,,,1965-07-01,2.11054547555848,1.83561744529342,0.41283034665254
1965-10-01,5.71147042922585,5.05072660318322,0.00366372359865583,3.63611688261335,-3.95694313954622,,,lambda_g,0.0587751853669541,,,-735.03557320473,,,,,,,,,,,,1965-10-01,2.21052854487116,1.8329378661827,0.409589055353574
1966-01-01,5.75370488683583,5.07596267016695,0.0173789989858932,4.25374908415159,-4.21082278630429,,,lambda_z,0.0120115221080875,,,,,,,,,,,,,,,1966-01-01,2.29517175470544,1.82890198346747,0.40633803313302
1966-04-01,5.86130648371242,5.17062118434714,0.0180073731103609,4.67592246575413,-4.28442054016646,,,,,,,,,,,,,,,,,,,1966-04-01,2.40931016936757,1.82325171909613,0.402822977181323
